Subject,Intervention,Day,Trial,Timer,startTime,finishTime,fixID,Position,Distance,shotFired
3,1,2,9,35.35,35.948,36.152,D,3,9,0
3,1,2,9,35.35,36.407,36.645,A,1,5,0
3,1,2,9,35.35,36.764,37.546,C,4,5,1
3,1,2,9,35.35,38.039,38.77,B,2,9,1
3,1,2,10,33.27,33.983,34.238,D,4,7,0
3,1,2,10,33.27,34.289,34.595,C,2,9,0
3,1,2,10,33.27,34.663,34.884,B,1,7,0
3,1,2,10,33.27,35.02,36.397,D,4,7,1
3,2,3,1,13.03,13.574,13.88,C,2,7,0
3,2,3,1,13.03,13.965,14.22,D,1,5,0
3,2,3,1,13.03,14.339,14.662,B,2,6,0
3,2,3,1,13.03,14.696,15.087,D,4,9,0
3,2,3,1,13.03,15.155,15.937,B,3,7,1
3,2,3,2,7.34,7.783,8.055,A,4,5,0
3,2,3,2,7.34,8.242,8.429,D,3,9,0
3,2,3,2,7.34,8.497,8.735,B,2,9,0
3,2,3,2,7.34,8.803,9.16,C,1,7,0
3,2,3,3,6.36,6.687,6.959,D,2,7,0
3,2,3,3,6.36,7.044,7.265,B,1,5,0
3,2,3,3,6.36,7.656,7.979,A,4,9,0
3,2,3,3,6.36,8.353,9.067,C,3,9,1
3,2,3,4,32.02,32.493,32.799,D,2,5,0
3,2,3,4,32.02,32.85,33.139,C,1,9,0
3,2,3,4,32.02,33.241,33.496,B,3,7,0
3,2,3,4,32.02,33.547,33.751,A,4,7,0
3,2,3,4,32.02,33.887,34.482,D,1,5,1
3,2,3,4,32.02,34.89,35.383,A,4,7,1
3,2,3,5,21.66,22.208,22.412,C,2,5,0
3,2,3,5,21.66,22.463,22.701,D,1,7,0
3,2,3,5,21.66,22.871,23.058,A,3,7,0
3,2,3,5,21.66,23.109,23.347,B,4,9,0
3,2,3,5,21.66,23.415,24.01,C,2,5,1
3,2,3,5,21.66,24.401,25.115,B,4,9,1
3,2,3,6,31.83,32.273,32.477,D,3,5,0
3,2,3,6,31.83,32.545,32.732,B,2,5,0
3,2,3,6,31.83,32.902,33.157,C,4,7,0
3,2,3,6,31.83,33.276,33.752,A,1,9,0
3,2,3,7,16.89,17.284,17.471,D,2,7,0
3,2,3,7,16.89,17.947,18.202,A,3,9,0
3,2,3,7,16.89,18.253,18.661,C,4,9,0
3,2,3,8,26.86,27.287,27.508,B,2,7,0
3,2,3,8,26.86,28.188,28.409,A,4,5,0
3,2,3,8,26.86,28.46,28.8,D,3,9,0
3,2,3,8,26.86,28.885,29.31,A,4,5,1
3,2,3,9,23.31,23.8,23.987,C,2,7,0
3,2,3,9,23.31,24.055,24.31,A,1,5,0
3,2,3,9,23.31,24.412,24.735,B,4,9,0
3,2,3,9,23.31,24.837,25.67,C,2,7,1
3,2,3,9,23.31,26.146,27.455,B,4,9,0
3,2,3,9,23.31,28.016,29.172,B,4,9,1
3,2,3,10,23.7,24.189,24.478,D,3,5,0
3,2,3,10,23.7,25.005,25.226,A,1,9,0
3,2,3,10,23.7,25.26,26.654,C,2,7,1
4,0,1,1,36.23,38.834,40.279,B,2,5,1
4,0,1,1,36.23,40.942,41.911,A,1,5,0
4,0,1,1,36.23,43.611,44.172,C,3,9,1
4,0,1,2,9.99,11.568,13.693,C,2,5,1
4,0,1,3,14.05,15.425,16.972,C,3,5,1
4,0,1,4,15.99,17.978,19.049,C,1,7,1
4,0,1,4,15.99,19.61,20.766,D,2,9,1
4,0,1,5,47.12,48.666,49.057,A,2,5,0
4,0,1,5,47.12,49.091,50.587,D,1,9,1
4,0,1,6,45.43,46.381,46.551,A,1,5,0
4,0,1,6,45.43,46.653,47.061,A,1,5,0
4,0,1,6,45.43,47.503,48.183,C,2,9,0
4,0,1,6,45.43,48.506,48.727,D,3,9,0
4,0,1,6,45.43,48.829,49.067,B,4,5,0
4,0,1,6,45.43,50.138,50.546,C,2,9,0
4,0,1,7,17.24,18.278,18.584,D,3,5,0
4,0,1,7,17.24,18.975,19.655,D,2,5,0
4,0,1,7,17.24,20.284,20.522,A,3,7,0
4,0,1,7,17.24,21.202,21.559,B,4,7,0
4,0,1,8,23.05,23.645,24.104,B,2,5,0
4,0,1,8,23.05,23.764,24.036,B,2,5,0
4,0,1,8,23.05,24.172,25.753,C,1,5,1
4,0,1,8,23.05,26.603,27.368,D,3,7,1
4,0,1,9,35.23,36.558,37.425,D,2,5,1
4,0,1,9,35.23,37.952,38.785,A,1,7,1
4,0,1,9,35.23,39.38,40.298,C,3,9,1
4,0,1,9,35.23,40.893,42.474,B,4,7,0
4,0,1,10,39.5,40.796,41.136,A,1,7,0
4,0,1,10,39.5,41.272,41.629,B,2,9,0
4,0,1,10,39.5,41.68,41.901,C,3,5,0
4,0,1,10,39.5,42.156,42.972,C,3,5,1
4,1,2,1,20.25,21.665,21.937,B,2,5,0
4,1,2,1,20.25,21.958,22.417,D,1,9,0
4,1,2,1,20.25,22.485,22.944,A,3,7,0
4,1,2,1,20.25,23.063,24.27,C,4,5,1
4,1,2,2,12.95,13.989,14.771,C,2,5,0
4,1,2,2,12.95,14.805,15.145,A,1,9,0
4,1,2,2,12.95,15.23,15.57,D,3,7,0
4,1,2,2,12.95,15.723,15.944,B,4,9,0
4,1,2,3,9.48,10.463,11.041,C,1,7,0
4,1,2,3,9.48,11.092,12.537,A,2,9,1
4,1,2,3,9.48,12.945,13.149,D,3,5,0
4,1,2,4,8.84,10.079,11.184,A,2,5,1
4,1,2,4,8.84,11.32,13.105,D,1,5,0
4,1,2,4,8.84,15.961,16.964,D,1,5,1
4,1,2,4,8.84,17.967,18.681,C,3,9,0
4,1,2,4,8.84,18.732,19.361,B,4,9,0
4,1,2,5,41.74,42.776,43.303,D,2,9,0
4,1,2,5,41.74,43.371,43.898,C,1,5,0
4,1,2,5,41.74,44.034,45.105,A,3,7,1
4,1,2,5,41.74,45.496,46.635,B,4,7,1
4,1,2,6,30.07,30.802,31.278,A,2,5,0
4,1,2,6,30.07,31.346,31.635,B,1,7,0
4,1,2,6,30.07,31.703,32.128,D,3,9,0
4,1,2,6,30.07,32.23,33.216,C,4,9,0
4,1,2,7,18.38,18.928,19.217,D,2,5,0
4,1,2,7,18.38,19.268,19.608,B,1,9,0
4,1,2,7,18.38,19.676,19.999,A,3,5,0
4,1,2,7,18.38,20.05,20.934,C,4,7,0
4,1,2,8,16.18,17.237,17.866,C,2,7,0
4,1,2,8,16.18,17.951,18.444,A,1,7,0
4,1,2,8,16.18,18.58,18.937,D,3,9,0
4,1,2,8,16.18,19.005,20.144,B,4,9,0
4,1,2,9,13.47,15.051,15.391,A,1,5,0
4,1,2,9,13.47,15.459,16.853,B,2,7,1
4,1,2,9,13.47,17.006,17.499,D,3,9,0
4,1,2,9,13.47,17.567,18.808,C,4,7,1
4,1,2,10,59.46,60.841,61.47,A,3,5,0
4,1,2,10,59.46,61.504,63.017,D,4,9,1
4,1,2,10,59.46,63.765,64.717,C,2,9,1
4,2,3,1,94.14,95.504,96.031,,2,7,0
4,2,3,1,94.14,96.15,96.49,C,1,5,0
4,2,3,1,94.14,96.558,96.745,,3,7,0
4,2,3,1,94.14,96.966,97.646,,4,9,1
4,2,3,2,7.53,8.161,8.977,B,2,9,0
4,2,3,2,7.53,9.062,9.521,C,1,7,0
4,2,3,2,7.53,9.606,9.963,D,3,9,0
4,2,3,2,7.53,10.065,10.83,A,4,5,0
4,2,3,3,15.6,15.868,16.208,D,2,7,0
4,2,3,3,15.6,15.898,16.221,D,2,7,0
4,2,3,3,15.6,16.293,16.616,B,1,5,0
4,2,3,3,15.6,16.718,17.33,C,3,9,0
4,2,3,3,15.6,17.381,17.67,A,4,9,0
4,2,3,3,15.6,17.721,18.639,C,3,9,1
4,2,3,4,8.2,9.152,10.206,D,2,5,1
4,2,3,4,8.2,10.818,11.991,C,1,9,0
4,2,3,4,8.2,12.059,12.399,B,3,7,0
4,2,3,4,8.2,12.518,13.708,A,4,7,1
4,2,3,5,46.64,43.573,44.984,C,2,5,1
4,2,3,5,46.64,45.239,45.732,D,1,7,0
4,2,3,5,46.64,45.817,46.429,A,3,7,0
4,2,3,5,46.64,46.48,47.585,B,4,9,1
